	~venusandadonis 5~sonnets 1~loverscomplaint 14
deceive	~sonnets 2~rapeoflucrece 1
deceived	~venusandadonis 1~sonnets 2
deceives	~loverscomplaint 1
deceivest	~sonnets 1
deceiving	~venusandadonis 2
deck	~rapeoflucrece 1
decks	~rapeoflucrece 1
declined	~rapeoflucrece 1
declines	~sonnets 1
decrease	~sonnets 1
decree	~sonnets 1~rapeoflucrece 1
decrees	~sonnets 1
decrepit	~venusandadonis 1~sonnets 1
dedicate	~rapeoflucrece 1
dedicated	~sonnets 1
dedicating	~venusandadonis 1
deed	~rapeoflucrece 10~loverscomplaint 1
deeds	~sonnets 8~rapeoflucrece 4
deeds;	~sonnets 2
deem	~sonnets 1
deem'd	~sonnets 2
deems	~rapeoflucrece 1
deep	~venusandadonis 3~various 3~sonnets 7~rapeoflucrece 12~loverscomplaint 1
deep-brain'd	~loverscomplaint 1
deep-drenched	~rapeoflucrece 1
deep-green	~loverscomplaint 1
deep-sore	~venusandadonis 1
deep-sunken	~sonnets 1
deep-sweet	~venusandadonis 1
deep-wounded	~various 1
deeper	~rapeoflucrece 1
deepest	~sonnets 1
deeply	~venusandadonis 2
deer	~venusandadonis 2~various 1~rapeoflucrece 1
deer;	~venusandadonis 1
deface	~various 1~sonnets 1
defaced	~sonnets 1
defaced;	~rapeoflucrece 1
defame	~rapeoflucrece 3
defeat	~sonnets 1
defeated	~sonnets 1
defeature	~venusandadonis 1
defect	~sonnets 2~rapeoflucrece 2
defects	~venusandadonis 1~sonnets 1
defence	~various 1~sonnets 2
defend	~venusandadonis 1~rapeoflucrece 2
defendant	~sonnets 1
defends;	~rapeoflucrece 1
defense	~sonnets 1
defiled	~rapeoflucrece 2
defiling;	~loverscomplaint 1
define	~sonnets 1
deflower	~rapeoflucrece 1
deformed	~venusandadonis 1
deformed'st	~sonnets 1
defunctive	~various 1
defy	~various 1~sonnets 1
defying	~various 1
degenerate	~rapeoflucrece 1
deified	~loverscomplaint 1
deign	~venusandadonis 1
delay	~rapeoflucrece 1
delay'd	~sonnets 1
delays	~venusandadonis 1~rapeoflucrece 2
delicious	~rapeoflucrece 1
delight	~venusandadonis 5~various 2~sonnets 8~rapeoflucrece 6
delight;	~venusandadonis 1~various 1~rapeoflucrece 1
delighted	~sonnets 1
delightful	~venusandadonis 1
delighting	~rapeoflucrece 1
delights	~sonnets 1
deliver'd	~sonnets 1
delivers	~sonnets 1~rapeoflucrece 1
delves	~sonnets 1
demanded	~rapeoflucrece 1
demeanor	~rapeoflucrece 1
demure	~rapeoflucrece 1
denial	~rapeoflucrece 2
denied	~sonnets 1
denote	~sonnets 1
deny	~various 1~sonnets 2~rapeoflucrece 1
denying	~various 1
depart	~venusandadonis 1~sonnets 2
departed	~rapeoflucrece 1
departest;	~sonnets 1
departs	~rapeoflucrece 1
depend	~loverscomplaint 1
depend;	~sonnets 1
depending;	~rapeoflucrece 1
depends	~sonnets 1
depends;	~sonnets 1
deprive	~rapeoflucrece 1
deprived	~rapeoflucrece 1
derive	~sonnets 1
derived	~rapeoflucrece 1
descant	~various 1
descant'st	~rapeoflucrece 1
descended	~rapeoflucrece 1~loverscomplaint 1
descending	~venusandadonis 1
descried	~rapeoflucrece 1
descriptions	~sonnets 1
desert	~various 1~sonnets 3~rapeoflucrece 1
deserts	~sonnets 2
deserve	~various 1~sonnets 1
deserved	~venusandadonis 1~sonnets 1
deservest	~sonnets 1
deserving	~sonnets 1
design	~rapeoflucrece 1~loverscomplaint 1
desire	~venusandadonis 11~various 1~sonnets 10~rapeoflucrece 15~loverscomplaint 1
desire's	~venusandadonis 1
desired	~sonnets 2~rapeoflucrece 1~loverscomplaint 1
desires	~loverscomplaint 3
despair	~venusandadonis 2~various 1~sonnets 2~rapeoflucrece 1
despair;	~sonnets 1
despairing	~rapeoflucrece 1
desperate	~venusandadonis 3~sonnets 1~rapeoflucrece 3
despise	~sonnets 2~rapeoflucrece 1
despised	~venusandadonis 1~sonnets 3
despising	~sonnets 1
despite	~venusandadonis 2~sonnets 5~rapeoflucrece 3
despitefully	~rapeoflucrece 1
destined	~loverscomplaint 1
destiny	~rapeoflucrece 1
destitute	~rapeoflucrece 1
destroy	~venusandadonis 3~rapeoflucrece 3
destroys	~sonnets 1
detain	~venusandadonis 1~sonnets 1
determinate	~sonnets 1
determination	~sonnets 1
determined	~sonnets 1
determining	~rapeoflucrece 1
detest	~rapeoflucrece 1
detriment;	~rapeoflucrece 1
device	~venusandadonis 1~rapeoflucrece 1~loverscomplaint 1
devil	~various 1~sonnets 1~rapeoflucrece 5
devils	~rapeoflucrece 1
devise	~sonnets 2
devised	~sonnets 1
deviseth	~venusandadonis 1
devoted	~rapeoflucrece 1
devour	~sonnets 1~rapeoflucrece 1
devour'd	~rapeoflucrece 1
devouring	~venusandadonis 1~rapeoflucrece 1
devours	~rapeoflucrece 1
dew	~rapeoflucrece 3
dew'd	~venusandadonis 1
dew-bedabbled	~venusandadonis 1
dewy	~various 1~rapeoflucrece 1
dexterity;	~rapeoflucrece 1
dial	~sonnets 1~rapeoflucrece 1
dial's	~sonnets 1
dial-hand	~sonnets 1
dialect	~loverscomplaint 1
dialogued	~loverscomplaint 1
diamond	~loverscomplaint 1
diapason	~rapeoflucrece 1
did	~venusandadonis 25~various 15~sonnets 26~rapeoflucrece 38~loverscomplaint 25
didst	~venusandadonis 2~various 1~sonnets 3~rapeoflucrece 1
die	~venusandadonis 6~sonnets 10~rapeoflucrece 14
die;	~rapeoflucrece 1
died	~venusandadonis 4~sonnets 2~rapeoflucrece 1
dies	~various 1~sonnets 1~rapeoflucrece 4
dies;	~venusandadonis 1
diest	~sonnets 1
dieted	~loverscomplaint 1
difference	~sonnets 1~loverscomplaint 1
different	~sonnets 1~loverscomplaint 1
dig	~sonnets 1
digestion	~rapeoflucrece 1
dignified	~sonnets 1
dignified;	~rapeoflucrece 1
dignifies	~sonnets 1
dignity	~sonnets 1~rapeoflucrece 1
digression	~rapeoflucrece 1
digs	~venusandadonis 1
diligence	~rapeoflucrece 1
dim	~rapeoflucrece 6
diminish'd	~venusandadonis 1
dimm'd	~rapeoflucrece 1
dimm'd;	~sonnets 1
dimple	~venusandadonis 1
dimpled	~rapeoflucrece 1
dint	~venusandadonis 1
dire	~venusandadonis 2~rapeoflucrece 1
directed	~sonnets 1
direction	~venusandadonis 1
directly	~various 1~sonnets 1
direful	~venusandadonis 1~rapeoflucrece 1
dirge	~rapeoflucrece 1
disabled	~sonnets 1
disarm'd	~sonnets 1
disbursed	~rapeoflucrece 1
discern	~rapeoflucrece 1
discharge	~rapeoflucrece 1
discharged	~rapeoflucrece 1
disciplined	~loverscomplaint 1
discloses	~sonnets 1
discolour'd	~rapeoflucrece 1
discontent	~various 1~sonnets 1~rapeoflucrece 2~loverscomplaint 1
discontent;	~sonnets 1
discontents	~venusandadonis 1
discord	~venusandadonis 1~rapeoflucrece 1
discourse	~venusandadonis 1~sonnets 1
discourses	~rapeoflucrece 1
discovery	~venusandadonis 1~rapeoflucrece 1
disdain	~venusandadonis 5~various 1~sonnets 1~rapeoflucrece 4
disdain'd	~venusandadonis 1
disdain;	~venusandadonis 1~sonnets 1
disdained	~rapeoflucrece 1
disdaineth;	~sonnets 1
disdainfully	~rapeoflucrece 1
disease	~sonnets 1
diseased	~sonnets 1
diseased;	~sonnets 1
disgrace	~venusandadonis 1~various 1~sonnets 8~rapeoflucrece 5
disgraced	~sonnets 1~rapeoflucrece 2
disguise;	~rapeoflucrece 1
disguised;	~rapeoflucrece 1
dishevell'd	~venusandadonis 1~rapeoflucrece 1
dishonour	~rapeoflucrece 4
dishonour'd	~rapeoflucrece 1
dishonoured	~rapeoflucrece 1
disjoin'd	~venusandadonis 1
disliking	~venusandadonis 1
dismal	~venusandadonis 1
dismal-dreaming	~various 1
dismay'd	~venusandadonis 1~rapeoflucrece 1
dismount	~loverscomplaint 1
dispatch	~sonnets 1
dispatcheth	~rapeoflucrece 1
dispensation	~rapeoflucrece 1
dispense	~sonnets 1~rapeoflucrece 2
dispense;	~rapeoflucrece 1
disperse	~sonnets 1
dispersed	~rapeoflucrece 2
displacest	~rapeoflucrece 1
display	~rapeoflucrece 1
display'd	~rapeoflucrece 1
disports	~rapeoflucrece 1
disposed	~sonnets 1
disposing	~venusandadonis 1
disposition	~rapeoflucrece 2
dispraise	~sonnets 1
disputation	~rapeoflucrece 3
dissemble	~venusandadonis 1
dissembled	~various 1
dissension	~venusandadonis 1
dissentious	~venusandadonis 1
dissolution	~rapeoflucrece 1
dissolve	~venusandadonis 1
dissolved	~rapeoflucrece 1
dissolves	~venusandadonis 1
distain;	~rapeoflucrece 1
distance	~sonnets 1~loverscomplaint 2
distemper'd	~sonnets 1
distill'd	~sonnets 2
distillation	~sonnets 1
distilling	~venusandadonis 1
distills	~sonnets 1
distincts	~various 1
distinguish	~rapeoflucrece 1
distract	~loverscomplaint 1
distractedly	~loverscomplaint 1
distraction	~sonnets 1
distress	~rapeoflucrece 2
distress'd	~venusandadonis 1
disturb	~venusandadonis 1
disturbed	~venusandadonis 1~rapeoflucrece 1
disturbing	~venusandadonis 1
ditty	~various 2
ditty;	~venusandadonis 1
dive-dapper	~venusandadonis 1
diverted	~loverscomplaint 1
divide	~sonnets 1~rapeoflucrece 1~loverscomplaint 1
divided	~sonnets 1
dividing;	~rapeoflucrece 1
divination	~venusandadonis 1
divine	~sonnets 2~rapeoflucrece 2
divine;	~venusandadonis 1~rapeoflucrece 1
divining	~sonnets 1
division	~various 2
divorce	~venusandadonis 1
do	~venusandadonis 15~various 8~sonnets 80~rapeoflucrece 29~loverscomplaint 7
doctor-like	~sonnets 1
doe	~venusandadonis 1~rapeoflucrece 1
doer	~rapeoflucrece 1
dog	~venusandadonis 1~various 1~rapeoflucrece 1
dogs	~venusandadonis 1
doing	~sonnets 1
doleful	~various 2~rapeoflucrece 1
dolefull'st	~various 1
dolour	~rapeoflucrece 2
done	~venusandadonis 6~sonnets 5~rapeoflucrece 12~loverscomplaint 2
done;	~venusandadonis 1
doom	~sonnets 5~rapeoflucrece 4
door	~venusandadonis 1~rapeoflucrece 3
doors	~rapeoflucrece 1
dost	~venusandadonis 7~sonnets 26~rapeoflucrece 3~loverscomplaint 1
dote	~sonnets 1
dote;	~venusandadonis 1~sonnets 1~rapeoflucrece 1~loverscomplaint 1
doted	~rapeoflucrece 1
dotes	~rapeoflucrece 1
doteth;	~venusandadonis 1
doth	~venusandadonis 45~various 9~sonnets 82~rapeoflucrece 66~loverscomplaint 1
doting	~sonnets 1~rapeoflucrece 4
double	~venusandadonis 2~various 1~sonnets 2~rapeoflucrece 1~loverscomplaint 1
double-lock	~venusandadonis 1
double-vantage	~sonnets 1
doubled;	~venusandadonis 1
doubles	~venusandadonis 1
doubt	~venusandadonis 2~various 1~sonnets 1~loverscomplaint 1
doubtful	~various 3
doubting	~sonnets 1
doubts	~various 1
dove	~various 3~sonnets 1~rapeoflucrece 1
doves	~venusandadonis 3~rapeoflucrece 1
doves;	~venusandadonis 1
down	~venusandadonis 6~various 1~sonnets 4~rapeoflucrece 6~loverscomplaint 4
down-razed	~sonnets 1
downright	~venusandadonis 1
downs	~venusandadonis 1
downward	~venusandadonis 1~loverscomplaint 1
dowry	~rapeoflucrece 1
drain'd	~sonnets 1
draw	~venusandadonis 2~sonnets 3~rapeoflucrece 2
drawn	~sonnets 2~rapeoflucrece 3~loverscomplaint 1
draws	~venusandadonis 1
dread	~venusandadonis 1~rapeoflucrece 1
dread;	~rapeoflucrece 1
dreadeth	~rapeoflucrece 1
dreadful	~venusandadonis 1~various 1~rapeoflucrece 4
dreadfully	~rapeoflucrece 1
dreading	~sonnets 1
dream	~sonnets 2~rapeoflucrece 4
dreaming	~sonnets 1
dreams	~sonnets 2~rapeoflucrece 1
dregs	~sonnets 1
drench'd	~venusandadonis 2
dress	~sonnets 1
dress'd	~sonnets 1
dressing	~sonnets 1
dressings	~sonnets 1
drew	~venusandadonis 1~rapeoflucrece 3~loverscomplaint 2
dried	~various 1
drink	~venusandadonis 3~sonnets 1~rapeoflucrece 1
drinks	~sonnets 1~rapeoflucrece 1
drive	~venusandadonis 1
driven	~venusandadonis 1
drives	~various 1~rapeoflucrece 1
drone-like	~rapeoflucrece 1
droop	~venusandadonis 1
drooping	~sonnets 1
drop	~venusandadonis 1~sonnets 1~rapeoflucrece 3
dropp'd	~venusandadonis 1
dropping	~venusandadonis 1
drops	~venusandadonis 2~sonnets 1~rapeoflucrece 4~loverscomplaint 1
dropt;	~venusandadonis 1
dross;	~sonnets 1
drouth	~venusandadonis 1
drown	~sonnets 1~rapeoflucrece 3
drown'd	~venusandadonis 1~various 1~rapeoflucrece 1
drowns	~sonnets 1~rapeoflucrece 1
drudge	~sonnets 1
drum	~venusandadonis 1
drumming	~rapeoflucrece 1
drunk	~sonnets 1
drunken	~venusandadonis 2
dry	~venusandadonis 6~sonnets 1~rapeoflucrece 2
dry;	~venusandadonis 1
ducks	~venusandadonis 1
due	~sonnets 5~rapeoflucrece 1
due;	~sonnets 1
dugs	~venusandadonis 1
dull	~venusandadonis 2~sonnets 6~rapeoflucrece 3
dullness	~sonnets 1
dully	~sonnets 1
dumb	~venusandadonis 3~sonnets 5~rapeoflucrece 5
dumb;	~sonnets 1
dumps	~rapeoflucrece 1
dun	~venusandadonis 1
dun;	~sonnets 1
durst	~sonnets 1~rapeoflucrece 1
dust	~sonnets 2~rapeoflucrece 1
dust;	~rapeoflucrece 1
duteous	~sonnets 1~rapeoflucrece 1
duties	~rapeoflucrece 1
duty	~venusandadonis 2~sonnets 2~rapeoflucrece 5~loverscomplaint 1
dwell	~venusandadonis 1~sonnets 5~loverscomplaint 1
dwell'd	~rapeoflucrece 1
dwell;	~sonnets 1~rapeoflucrece 1
dwellers	~sonnets 1
dwelling	~loverscomplaint 1
dwells	~venusandadonis 1~sonnets 1
dye	~various 1~sonnets 1
dye;	~various 1
dyed	~sonnets 2
dyer's	~sonnets 1
dying	~venusandadonis 1~sonnets 1~rapeoflucrece 5
each	~venusandadonis 11~various 4~sonnets 13~rapeoflucrece 8~loverscomplaint 1
eager	~sonnets 1~rapeoflucrece 2
eagle	~venusandadonis 1~various 1
eagles	~rapeoflucrece 1
ear	~venusandadonis 9~various 2~sonnets 3~rapeoflucrece 3
ear;	~various 1~rapeoflucrece 1
early	~venusandadonis 1~sonnets 1~rapeoflucrece 2~loverscomplaint 1
earnest	~rapeoflucrece 1
ears	~venusandadonis 8~sonnets 2~rapeoflucrece 4
ears;	~rapeoflucrece 1
earth	~venusandadonis 9~various 1~sonnets 11~rapeoflucrece 4
earth's	~venusandadonis 3~rapeoflucrece 3
earth-delving	~venusandadonis 1
earth;	~loverscomplaint 1
earthly	~venusandadonis 2~various 2~sonnets 1~rapeoflucrece 1
earthquake	~venusandadonis 1
ease	~sonnets 2~rapeoflucrece 2
eased	~sonnets 1
easeth	~rapeoflucrece 1
easily	~venusandadonis 1
east	~various 1~sonnets 1
eastern	~rapeoflucrece 1
easy	~various 1~sonnets 1
eat	~sonnets 2~rapeoflucrece 2
eats	~venusandadonis 1
ebbs	~rapeoflucrece 2
ebon	~venusandadonis 1
echoes	~venusandadonis 2
eclipse	~sonnets 1
eclipses	~sonnets 1
ecstasy	~loverscomplaint 1
ecstasy;	~venusandadonis 1
eddy	~rapeoflucrece 1
edge	~sonnets 3~rapeoflucrece 1
effect	~venusandadonis 2~sonnets 3~rapeoflucrece 1~loverscomplaint 1
effecting	~venusandadonis 1~rapeoflucrece 1
effects	~venusandadonis 1~rapeoflucrece 3
effectually	~sonnets 1
eisel	~sonnets 1
either	~venusandadonis 1~various 3~sonnets 1~rapeoflucrece 4
either's	~sonnets 2~rapeoflucrece 2~loverscomplaint 1
elbows	~venusandadonis 1
elder	~sonnets 1
element	~rapeoflucrece 1
elements	~sonnets 2
elipses	~sonnets 1
eloquence	~sonnets 1~rapeoflucrece 1
else	~venusandadonis 3~sonnets 5~rapeoflucrece 5~loverscomplaint 1
elsewhere	~sonnets 3
embassage	~sonnets 1
embassy	~sonnets 1
embers	~rapeoflucrece 1
embrace	~venusandadonis 2~rapeoflucrece 2
embrace;	~venusandadonis 1
embraced	~various 1
embracements	~venusandadonis 2
embracing	~venusandadonis 2~rapeoflucrece 1
emerald	~loverscomplaint 1
emptied	~loverscomplaint 1
empty	~venusandadonis 2
emulation	~rapeoflucrece 1
enacted	~rapeoflucrece 1
enchained	~rapeoflucrece 1
enchant	~venusandadonis 1~loverscomplaint 1
enchanted	~loverscomplaint 1
enchanting	~venusandadonis 1~rapeoflucrece 1
enclose	~sonnets 1
enclosed	~various 1~rapeoflucrece 1
encloses	~loverscomplaint 1
encloses;	~rapeoflucrece 1
encompass'd	~rapeoflucrece 1
encounter	~venusandadonis 3
encouraging	~rapeoflucrece 1
encrimson'd	~loverscomplaint 1
end	~venusandadonis 1~various 1~sonnets 9~rapeoflucrece 7
end;	~venusandadonis 1~sonnets 1~rapeoflucrece 1
endeared	~sonnets 1
ended	~venusandadonis 1~various 1~rapeoflucrece 1
ended;	~rapeoflucrece 1
ender;	~loverscomplaint 1
ending	~venusandadonis 1~sonnets 1
ending;	~rapeoflucrece 1
endless	~sonnets 1~rapeoflucrece 1
endow'd	~sonnets 1
ends	~venusandadonis 2
endure	~venusandadonis 1~sonnets 1~rapeoflucrece 1
endured	~sonnets 1~rapeoflucrece 1
enemies	~sonnets 2~rapeoflucrece 2
enemy	~venusandadonis 1~rapeoflucrece 1
enemy;	~rapeoflucrece 1
enfeebled	~sonnets 1
enforced	~sonnets 1~rapeoflucrece 4
enforcement	~rapeoflucrece 1
engine	~venusandadonis 1
engirt	~rapeoflucrece 2
engirts	~venusandadonis 1
engraft	~sonnets 1
engrafted	~sonnets 1
engraven	~rapeoflucrece 1
engross'd	~sonnets 1
enjoy	~venusandadonis 1~sonnets 1~rapeoflucrece 1
enjoy'd	~rapeoflucrece 1
enjoyer	~sonnets 1
enjoys	~sonnets 1
enlarged	~sonnets 1
enlighten	~sonnets 1
enmity	~sonnets 1
enmity;	~rapeoflucrece 1
enough	~venusandadonis 1~various 1~sonnets 6
enpatron	~loverscomplaint 1
enraged	~venusandadonis 2~rapeoflucrece 1
enrich	~venusandadonis 1~sonnets 1
enrich'd	~loverscomplaint 1
ensconce	~sonnets 1
ensconced	~rapeoflucrece 1
ensign	~venusandadonis 1
ensnare	~rapeoflucrece 1
ensnared	~rapeoflucrece 1
ensue	~rapeoflucrece 2
ensues	~rapeoflucrece 1
ensuing	~venusandadonis 1
enter	~venusandadonis 1~rapeoflucrece 1
enter;	~venusandadonis 1
enterprise	~rapeoflucrece 1
enters	~venusandadonis 1~rapeoflucrece 1
entertain	~sonnets 1~rapeoflucrece 4
entertain'd	~venusandadonis 1~rapeoflucrece 1
entertained	~rapeoflucrece 1
entertainment	~venusandadonis 1
entice	~rapeoflucrece 1
entice;	~various 1
entomb	~rapeoflucrece 1
entombed	~sonnets 1~rapeoflucrece 1
entrance	~rapeoflucrece 1
entreat	~venusandadonis 1
entreats	~venusandadonis 2
envious	~venusandadonis 1
envy	~sonnets 2~rapeoflucrece 2
epitaph	~sonnets 1
equal	~sonnets 1~rapeoflucrece 1
equally	~venusandadonis 1
equals	~loverscomplaint 1
equipage	~sonnets 1
ere	~venusandadonis 4~various 2~sonnets 4~rapeoflucrece 10~loverscomplaint 1
err	~sonnets 1
erred	~sonnets 1
error	~venusandadonis 1~sonnets 1
errors	~sonnets 4~rapeoflucrece 1~loverscomplaint 1
erst	~sonnets 1
espied	~rapeoflucrece 1~loverscomplaint 1
espoused	~rapeoflucrece 1
espy	~venusandadonis 1
essays	~sonnets 1
essence	~various 1
estate	~rapeoflucrece 2
esteem	~sonnets 2
esteem'd	~sonnets 2
esteemed	~rapeoflucrece 1
esteeming	~sonnets 1
esteems	~venusandadonis 1
estimate	~sonnets 1
eternal	~venusandadonis 1~sonnets 5~rapeoflucrece 1~loverscomplaint 1
eternity	~various 1~sonnets 2~rapeoflucrece 2
eternity;	~sonnets 1
even	~venusandadonis 4~sonnets 14~rapeoflucrece 4
evening	~various 1~rapeoflucrece 1
event	~rapeoflucrece 1
events	~venusandadonis 1
ever	~venusandadonis 4~various 2~sonnets 11~rapeoflucrece 7~loverscomplaint 4
ever-during	~rapeoflucrece 1
ever-fixed	~sonnets 1
everlasting	~rapeoflucrece 1
evermore	~sonnets 3
every	~venusandadonis 9~various 3~sonnets 31~rapeoflucrece 17~loverscomplaint 2
everything	~rapeoflucrece 1
evidence	~rapeoflucrece 1
evident;	~sonnets 1
evil	~various 1~sonnets 4~rapeoflucrece 4
evil;	~rapeoflucrece 1
evils	~rapeoflucrece 1
ewes	~various 1
example	~sonnets 1~rapeoflucrece 1~loverscomplaint 1
examples	~loverscomplaint 1
exceed	~sonnets 1
exceed;	~venusandadonis 1~rapeoflucrece 1
exceeds	~venusandadonis 1~sonnets 1~rapeoflucrece 1
excel	~venusandadonis 1~sonnets 1
excell'd	~venusandadonis 1
excellence	~sonnets 1
excellence;	~sonnets 1
excellent	~various 1~sonnets 1
excelleth	~rapeoflucrece 1
excelling	~venusandadonis 1
except	~sonnets 1
excess	~sonnets 1~rapeoflucrece 1~loverscomplaint 1
excessive	~rapeoflucrece 1
exchanged	~sonnets 1
exchequer	~sonnets 1
exclaim	~venusandadonis 1
exclaim;	~loverscomplaint 1
exclaiming	~rapeoflucrece 1
exclaims	~venusandadonis 1~rapeoflucrece 1
exclamation	~rapeoflucrece 1
excuse	~venusandadonis 2~sonnets 6~rapeoflucrece 7
excuse's	~rapeoflucrece 1
excuses	~venusandadonis 1~rapeoflucrece 2
excuses;	~rapeoflucrece 1
executest	~rapeoflucrece 1
executor	~sonnets 1
exhaled	~rapeoflucrece 1
exile	~various 1
exiled	~rapeoflucrece 2
expect;	~rapeoflucrece 1
expectation	~venusandadonis 1
expected	~venusandadonis 1
expecting	~rapeoflucrece 1
expel;	~venusandadonis 1
expense	~sonnets 2
expense;	~sonnets 1
expiate	~sonnets 1
expire	~sonnets 1
expired	~sonnets 1~rapeoflucrece 1
exploits	~rapeoflucrece 1
express	~venusandadonis 1~sonnets 2~rapeoflucrece 2
express'd	~sonnets 2~rapeoflucrece 1
express'd;	~sonnets 1
expressing	~sonnets 1
expressly	~rapeoflucrece 1
extant	~sonnets 1
extemporally	~venusandadonis 1
extend	~loverscomplaint 2
extenuate;	~venusandadonis 1
extern	~sonnets 1
external	~sonnets 1
extincture	~loverscomplaint 1
extolled	~rapeoflucrece 1
extreme	~sonnets 1~rapeoflucrece 1
extreme;	~sonnets 1
extremes	~rapeoflucrece 2
extremes;	~venusandadonis 1
extremity	~sonnets 1~rapeoflucrece 1
eye	~venusandadonis 18~various 5~sonnets 38~rapeoflucrece 28~loverscomplaint 4
eye's	~sonnets 3
eye-balls	~venusandadonis 1
eye-sore	~rapeoflucrece 1
eye;	~venusandadonis 2~various 1~rapeoflucrece 4
eyeballs	~rapeoflucrece 1
eyed	~sonnets 1
eyelids	~venusandadonis 1~sonnets 2
eyes	~venusandadonis 32~various 4~sonnets 52~rapeoflucrece 42~loverscomplaint 8
eyes;	~venusandadonis 1~rapeoflucrece 1
eyne	~venusandadonis 1~rapeoflucrece 2~loverscomplaint 1
face	~venusandadonis 19~sonnets 19~rapeoflucrece 20~loverscomplaint 1
face's	~rapeoflucrece 1
face;	~venusandadonis 1~rapeoflucrece 1~loverscomplaint 1
faces	~sonnets 2~rapeoflucrece 4
faces;	~rapeoflucrece 1
fact	~rapeoflucrece 2
faculty	~sonnets 1
fade	~sonnets 3
fadeth	~sonnets 1
fading	~sonnets 2
fain	~venusandadonis 1
faint	~venusandadonis 6~sonnets 1~rapeoflucrece 1
fainted	~rapeoflucrece 1
faintly	~venusandadonis 1~rapeoflucrece 1
faints	~venusandadonis 1~rapeoflucrece 1
fair	~venusandadonis 19~various 10~sonnets 38~rapeoflucrece 29~loverscomplaint 4
fair'st	~various 1
fair;	~venusandadonis 1~sonnets 2
fairer	~various 1~sonnets 3~loverscomplaint 1
fairest	~venusandadonis 1~various 1~sonnets 5
fairly	~sonnets 1
fairy	~venusandadonis 1
faith	~various 4~sonnets 5
faiths	~rapeoflucrece 1
falchion	~rapeoflucrece 4
falcon	~venusandadonis 1~rapeoflucrece 1
falcon's	~rapeoflucrece 1
fall	~venusandadonis 6~various 1~sonnets 3~rapeoflucrece 4~loverscomplaint 1
falleth	~venusandadonis 2
falling	~venusandadonis 1
falls	~venusandadonis 2~various 2~sonnets 1~rapeoflucrece 4
false	~venusandadonis 6~various 2~sonnets 19~rapeoflucrece 16~loverscomplaint 3
false-speaking	~various 1
falsehood	~sonnets 2~rapeoflucrece 1
falsely	~sonnets 1
falseness	~loverscomplaint 1
falser	~various 1
faltering	~rapeoflucrece 1
fame	~sonnets 3~rapeoflucrece 10~loverscomplaint 2
familiar	~sonnets 1
family	~rapeoflucrece 1
famine	~sonnets 1
famish	~venusandadonis 1
famish'd	~sonnets 1
famoused	~sonnets 1
fan	~venusandadonis 1
fancies	~loverscomplaint 1
fancy	~various 2~rapeoflucrece 1~loverscomplaint 1
